"station","site","bay","temp.c","julian","year","species","age.1","age.0"
83,"Mit-2","Mitrofania",11.6,221,"2018","Pacific cod",0,19
83,"Mit-2","Mitrofania",11.6,221,"2018","walleye pollock",1,32
84,"Mit-3","Mitrofania",11.6,221,"2018","Pacific cod",1,308
84,"Mit-3","Mitrofania",11.6,221,"2018","walleye pollock",0,26
85,"Mit-6","Mitrofania",12.5,221,"2018","Pacific cod",0,8
85,"Mit-6","Mitrofania",12.5,221,"2018","walleye pollock",0,69
86,"Mit-4","Mitrofania",12.4,221,"2018","Pacific cod",0,6
86,"Mit-4","Mitrofania",12.4,221,"2018","walleye pollock",0,3
87,"Mit-5","Mitrofania",13.2,221,"2018","Pacific cod",0,39
87,"Mit-5","Mitrofania",13.2,221,"2018","walleye pollock",0,0
88,"PW-3","Port Wrangell",7.9,226,"2018","Pacific cod",0,0
88,"PW-3","Port Wrangell",7.9,226,"2018","walleye pollock",0,0
89,"PW-2","Port Wrangell",8,226,"2018","Pacific cod",0,29
89,"PW-2","Port Wrangell",8,226,"2018","walleye pollock",0,0
90,"PW-1","Port Wrangell",7.5,226,"2018","Pacific cod",0,263
90,"PW-1","Port Wrangell",7.5,226,"2018","walleye pollock",0,2
91,"PW-4","Port Wrangell",9.1,226,"2018","Pacific cod",0,459
91,"PW-4","Port Wrangell",9.1,226,"2018","walleye pollock",0,2172
92,"AG-1","Agripina",NA,227,"2018","Pacific cod",0,427
92,"AG-1","Agripina",NA,227,"2018","walleye pollock",0,0
93,"AG-2","Agripina",9.1,227,"2018","Pacific cod",0,8
93,"AG-2","Agripina",9.1,227,"2018","walleye pollock",0,1
94,"AG-4","Agripina",8.4,227,"2018","Pacific cod",0,11
94,"AG-4","Agripina",8.4,227,"2018","walleye pollock",0,0
95,"AG-3","Agripina",9.4,227,"2018","Pacific cod",0,278
95,"AG-3","Agripina",9.4,227,"2018","walleye pollock",0,25
96,"AG-5","Agripina",9.4,227,"2018","Pacific cod",0,590
96,"AG-5","Agripina",9.4,227,"2018","walleye pollock",0,592
97,"AG-6","Agripina",9.3,227,"2018","Pacific cod",0,0
97,"AG-6","Agripina",9.3,227,"2018","walleye pollock",0,0
98,"RR-1","Rodman Reach",11.8,229,"2018","Pacific cod",0,35
98,"RR-1","Rodman Reach",11.8,229,"2018","walleye pollock",0,3
99,"RR-4","Rodman Reach",12.4,229,"2018","Pacific cod",0,62
99,"RR-4","Rodman Reach",12.4,229,"2018","walleye pollock",0,13
100,"RR-5","Rodman Reach",12.4,229,"2018","Pacific cod",0,0
100,"RR-5","Rodman Reach",12.4,229,"2018","walleye pollock",0,0
101,"RR-6","Rodman Reach",12.4,232,"2018","Pacific cod",0,28
101,"RR-6","Rodman Reach",12.4,232,"2018","walleye pollock",0,0
102,"RR-2","Rodman Reach",12.4,232,"2018","Pacific cod",0,16
102,"RR-2","Rodman Reach",12.4,232,"2018","walleye pollock",0,0
103,"Jap-5","Japanese",12,234,"2018","Pacific cod",0,0
103,"Jap-5","Japanese",12,234,"2018","walleye pollock",0,0
104,"Jap-4","Japanese",11.5,234,"2018","Pacific cod",0,5
104,"Jap-4","Japanese",11.5,234,"2018","walleye pollock",0,0
105,"Jap-1","Japanese",12,234,"2018","Pacific cod",0,182
105,"Jap-1","Japanese",12,234,"2018","walleye pollock",0,0
106,"Jap-6","Japanese",11.7,234,"2018","Pacific cod",0,459
106,"Jap-6","Japanese",11.7,234,"2018","walleye pollock",0,5
107,"Jap-2","Japanese",11.7,234,"2018","Pacific cod",0,0
107,"Jap-2","Japanese",11.7,234,"2018","walleye pollock",0,0
108,"Jap-3","Japanese",11.4,234,"2018","Pacific cod",0,0
108,"Jap-3","Japanese",11.4,234,"2018","walleye pollock",0,0
109,"Jap-7","Japanese",11.5,234,"2018","Pacific cod",0,1
109,"Jap-7","Japanese",11.5,234,"2018","walleye pollock",0,0
110,"Kai-1","Kaiugnak",9.8,236,"2018","Pacific cod",0,591
110,"Kai-1","Kaiugnak",9.8,236,"2018","walleye pollock",13,97
111,"Kai-2","Kaiugnak",10,236,"2018","Pacific cod",3,406
111,"Kai-2","Kaiugnak",10,236,"2018","walleye pollock",3,50
112,"Kai-3","Kaiugnak",10,236,"2018","Pacific cod",4,87
112,"Kai-3","Kaiugnak",10,236,"2018","walleye pollock",0,0
113,"Kai-6","Kaiugnak",10.1,236,"2018","Pacific cod",0,1
113,"Kai-6","Kaiugnak",10.1,236,"2018","walleye pollock",0,0
114,"Kai-4","Kaiugnak",9.9,236,"2018","Pacific cod",0,5
114,"Kai-4","Kaiugnak",9.9,236,"2018","walleye pollock",0,0
116,"Kai-7","Kaiugnak",10.6,236,"2018","Pacific cod",0,3
116,"Kai-7","Kaiugnak",10.6,236,"2018","walleye pollock",0,0
118,"Kilu-5","Kiluida",10.3,238,"2018","Pacific cod",0,144
118,"Kilu-5","Kiluida",10.3,238,"2018","walleye pollock",0,2
119,"Kilu-1","Kiluida",11.6,238,"2018","Pacific cod",0,65
119,"Kilu-1","Kiluida",11.6,238,"2018","walleye pollock",0,0
120,"Kilu-4","Kiluida",11.8,238,"2018","Pacific cod",0,64
120,"Kilu-4","Kiluida",11.8,238,"2018","walleye pollock",0,0
121,"Kilu-8","Kiluida",12.2,238,"2018","Pacific cod",0,94
121,"Kilu-8","Kiluida",12.2,238,"2018","walleye pollock",0,0
122,"Kilu-9","Kiluida",10.9,238,"2018","Pacific cod",0,1
122,"Kilu-9","Kiluida",10.9,238,"2018","walleye pollock",0,0
123,"Ugak-5","Ugak",9.3,240,"2018","Pacific cod",0,1
123,"Ugak-5","Ugak",9.3,240,"2018","walleye pollock",0,1
124,"Ugak-6","Ugak",8.7,240,"2018","Pacific cod",0,0
124,"Ugak-6","Ugak",8.7,240,"2018","walleye pollock",0,0
125,"Ugak-3","Ugak",9.8,240,"2018","Pacific cod",0,0
125,"Ugak-3","Ugak",9.8,240,"2018","walleye pollock",0,0
126,"Ugak-2","Ugak",8.4,240,"2018","Pacific cod",0,1
126,"Ugak-2","Ugak",8.4,240,"2018","walleye pollock",0,0
127,"Ugak-1","Ugak",11.8,240,"2018","Pacific cod",0,0
127,"Ugak-1","Ugak",11.8,240,"2018","walleye pollock",0,0
128,"Ugak-7","Ugak",11.2,240,"2018","Pacific cod",0,0
128,"Ugak-7","Ugak",11.2,240,"2018","walleye pollock",0,0
129,"Ugak-4","Ugak",12.4,240,"2018","Pacific cod",0,4
129,"Ugak-4","Ugak",12.4,240,"2018","walleye pollock",2,0
130,"Ugak-8","Ugak",11.7,240,"2018","Pacific cod",0,3
130,"Ugak-8","Ugak",11.7,240,"2018","walleye pollock",0,0
131,"AG-1","Agripina",11.5,188,"2019","Pacific cod",0,2
131,"AG-1","Agripina",11.5,188,"2019","walleye pollock",0,0
132,"AG-2","Agripina",12.6,188,"2019","Pacific cod",0,5
132,"AG-2","Agripina",12.6,188,"2019","walleye pollock",0,0
133,"AG-5","Agripina",12.3,188,"2019","Pacific cod",0,31
133,"AG-5","Agripina",12.3,188,"2019","walleye pollock",0,0
134,"AG-3","Agripina",12.1,188,"2019","Pacific cod",0,6
134,"AG-3","Agripina",12.1,188,"2019","walleye pollock",0,0
135,"AG-4","Agripina",11.8,188,"2019","Pacific cod",0,0
135,"AG-4","Agripina",11.8,188,"2019","walleye pollock",0,0
136,"AG-6","Agripina",17.7,188,"2019","Pacific cod",0,0
136,"AG-6","Agripina",17.7,188,"2019","walleye pollock",0,0
137,"PW-3","Port Wrangell",11,190,"2019","Pacific cod",0,0
137,"PW-3","Port Wrangell",11,190,"2019","walleye pollock",0,0
138,"PW-2","Port Wrangell",12.4,190,"2019","Pacific cod",0,1
138,"PW-2","Port Wrangell",12.4,190,"2019","walleye pollock",0,0
139,"PW-1","Port Wrangell",12.6,190,"2019","Pacific cod",0,0
139,"PW-1","Port Wrangell",12.6,190,"2019","walleye pollock",0,0
140,"PW-4","Port Wrangell",15.1,190,"2019","Pacific cod",0,0
140,"PW-4","Port Wrangell",15.1,190,"2019","walleye pollock",0,0
141,"Mit-1","Mitrofania",11.1,193,"2019","Pacific cod",0,4
141,"Mit-1","Mitrofania",11.1,193,"2019","walleye pollock",0,0
142,"Mit-2","Mitrofania",12.4,193,"2019","Pacific cod",0,1
142,"Mit-2","Mitrofania",12.4,193,"2019","walleye pollock",0,0
143,"Mit-3","Mitrofania",13.2,193,"2019","Pacific cod",0,44
143,"Mit-3","Mitrofania",13.2,193,"2019","walleye pollock",0,7
144,"Mit-5","Mitrofania",13.8,193,"2019","Pacific cod",0,0
144,"Mit-5","Mitrofania",13.8,193,"2019","walleye pollock",0,0
145,"Mit-6","Mitrofania",13.8,193,"2019","Pacific cod",0,5
145,"Mit-6","Mitrofania",13.8,193,"2019","walleye pollock",0,0
146,"Mit-4","Mitrofania",14.3,193,"2019","Pacific cod",0,1
146,"Mit-4","Mitrofania",14.3,193,"2019","walleye pollock",0,0
147,"Fox-5","Fox",15.5,195,"2019","Pacific cod",0,0
147,"Fox-5","Fox",15.5,195,"2019","walleye pollock",0,0
148,"Fox-1","Fox",12.8,195,"2019","Pacific cod",0,0
148,"Fox-1","Fox",12.8,195,"2019","walleye pollock",0,0
149,"Fox-2","Fox",12.9,195,"2019","Pacific cod",0,0
149,"Fox-2","Fox",12.9,195,"2019","walleye pollock",0,0
150,"Fox-3","Fox",12.8,195,"2019","Pacific cod",0,0
150,"Fox-3","Fox",12.8,195,"2019","walleye pollock",0,0
151,"Fox-4","Fox",12.1,195,"2019","Pacific cod",0,0
151,"Fox-4","Fox",12.1,195,"2019","walleye pollock",0,0
152,"BB-2","Balboa",13.3,198,"2019","Pacific cod",0,3
152,"BB-2","Balboa",13.3,198,"2019","walleye pollock",0,27
153,"BB-3","Balboa",13.6,198,"2019","Pacific cod",0,0
153,"BB-3","Balboa",13.6,198,"2019","walleye pollock",0,0
154,"BB-4","Balboa",13.6,198,"2019","Pacific cod",0,2
154,"BB-4","Balboa",13.6,198,"2019","walleye pollock",0,1
155,"BB-7","Balboa",13.9,198,"2019","Pacific cod",0,0
155,"BB-7","Balboa",13.9,198,"2019","walleye pollock",0,23
156,"BB-6","Balboa",14.2,198,"2019","Pacific cod",0,0
156,"BB-6","Balboa",14.2,198,"2019","walleye pollock",0,0
157,"BB-1","Balboa",14.3,198,"2019","Pacific cod",0,0
157,"BB-1","Balboa",14.3,198,"2019","walleye pollock",0,0
158,"Sand-2","Sand Point",11.8,202,"2019","Pacific cod",0,7
158,"Sand-2","Sand Point",11.8,202,"2019","walleye pollock",0,0
159,"Sand-3","Sand Point",12.3,202,"2019","Pacific cod",0,1
159,"Sand-3","Sand Point",12.3,202,"2019","walleye pollock",0,0
160,"Fal-1","Falmouth",11.5,204,"2019","Pacific cod",0,0
160,"Fal-1","Falmouth",11.5,204,"2019","walleye pollock",0,0
161,"Fal-2","Falmouth",11.1,204,"2019","Pacific cod",0,0
161,"Fal-2","Falmouth",11.1,204,"2019","walleye pollock",0,0
162,"Fal-3","Falmouth",10.8,204,"2019","Pacific cod",0,5
162,"Fal-3","Falmouth",10.8,204,"2019","walleye pollock",0,0
163,"Fal-4","Falmouth",10.7,204,"2019","Pacific cod",0,0
163,"Fal-4","Falmouth",10.7,204,"2019","walleye pollock",0,1
164,"Fal-5","Falmouth",11.9,204,"2019","Pacific cod",0,0
164,"Fal-5","Falmouth",11.9,204,"2019","walleye pollock",0,0
165,"Bar-1","Baralof",12.2,206,"2019","Pacific cod",0,0
165,"Bar-1","Baralof",12.2,206,"2019","walleye pollock",0,0
166,"Bar-3","Baralof",11.5,206,"2019","Pacific cod",0,0
166,"Bar-3","Baralof",11.5,206,"2019","walleye pollock",0,0
167,"Bar-2","Baralof",11.8,206,"2019","Pacific cod",0,0
167,"Bar-2","Baralof",11.8,206,"2019","walleye pollock",0,0
168,"Bar-6","Baralof",11.7,206,"2019","Pacific cod",0,0
168,"Bar-6","Baralof",11.7,206,"2019","walleye pollock",0,0
169,"Bar-4","Baralof",12.1,206,"2019","Pacific cod",0,0
169,"Bar-4","Baralof",12.1,206,"2019","walleye pollock",4,0
170,"Bar-5","Baralof",12.1,206,"2019","Pacific cod",0,0
170,"Bar-5","Baralof",12.1,206,"2019","walleye pollock",0,0
171,"RR-3","Rodman Reach",13.4,212,"2019","Pacific cod",0,3
171,"RR-3","Rodman Reach",13.4,212,"2019","walleye pollock",1,0
172,"RR-5","Rodman Reach",14.1,212,"2019","Pacific cod",0,0
172,"RR-5","Rodman Reach",14.1,212,"2019","walleye pollock",0,0
173,"RR-6","Rodman Reach",13.7,212,"2019","Pacific cod",0,0
173,"RR-6","Rodman Reach",13.7,212,"2019","walleye pollock",0,1
174,"RR-4","Rodman Reach",14.9,212,"2019","Pacific cod",0,8
174,"RR-4","Rodman Reach",14.9,212,"2019","walleye pollock",0,0
175,"RR-1","Rodman Reach",13.9,212,"2019","Pacific cod",0,0
175,"RR-1","Rodman Reach",13.9,212,"2019","walleye pollock",0,0
176,"RR-2","Rodman Reach",13.3,212,"2019","Pacific cod",0,1
176,"RR-2","Rodman Reach",13.3,212,"2019","walleye pollock",0,1
177,"Jap-7","Japanese",12,218,"2019","Pacific cod",0,0
177,"Jap-7","Japanese",12,218,"2019","walleye pollock",0,0
178,"Jap-2","Japanese",12.1,218,"2019","Pacific cod",0,0
178,"Jap-2","Japanese",12.1,218,"2019","walleye pollock",0,0
179,"Jap-3","Japanese",12.2,218,"2019","Pacific cod",1,0
179,"Jap-3","Japanese",12.2,218,"2019","walleye pollock",0,0
180,"Jap-1","Japanese",13,218,"2019","Pacific cod",0,0
180,"Jap-1","Japanese",13,218,"2019","walleye pollock",0,0
181,"Jap-6","Japanese",12.8,218,"2019","Pacific cod",7,0
181,"Jap-6","Japanese",12.8,218,"2019","walleye pollock",0,0
182,"Jap-5","Japanese",13.8,218,"2019","Pacific cod",0,2
182,"Jap-5","Japanese",13.8,218,"2019","walleye pollock",0,0
183,"Jap-4","Japanese",12.2,218,"2019","Pacific cod",0,0
183,"Jap-4","Japanese",12.2,218,"2019","walleye pollock",0,0
184,"Kai-1","Kaiugnak",10.4,219,"2019","Pacific cod",0,0
184,"Kai-1","Kaiugnak",10.4,219,"2019","walleye pollock",0,0
185,"Kai-2","Kaiugnak",10.7,219,"2019","Pacific cod",0,32
185,"Kai-2","Kaiugnak",10.7,219,"2019","walleye pollock",0,0
186,"Kai-3","Kaiugnak",11.9,219,"2019","Pacific cod",0,71
186,"Kai-3","Kaiugnak",11.9,219,"2019","walleye pollock",0,0
187,"Kai-6","Kaiugnak",11.9,220,"2019","Pacific cod",0,5
187,"Kai-6","Kaiugnak",11.9,220,"2019","walleye pollock",0,0
188,"Kai-7","Kaiugnak",12.4,220,"2019","Pacific cod",0,0
188,"Kai-7","Kaiugnak",12.4,220,"2019","walleye pollock",0,0
189,"Kai-4","Kaiugnak",10.9,220,"2019","Pacific cod",0,0
189,"Kai-4","Kaiugnak",10.9,220,"2019","walleye pollock",0,0
190,"Kilu-1","Kiluida",15.7,222,"2019","Pacific cod",0,0
190,"Kilu-1","Kiluida",15.7,222,"2019","walleye pollock",0,0
191,"Kilu-2","Kiluida",16.5,222,"2019","Pacific cod",0,0
191,"Kilu-2","Kiluida",16.5,222,"2019","walleye pollock",0,0
192,"Kilu-4","Kiluida",16.8,222,"2019","Pacific cod",0,0
192,"Kilu-4","Kiluida",16.8,222,"2019","walleye pollock",0,0
193,"Kilu-5","Kiluida",13.9,222,"2019","Pacific cod",0,0
193,"Kilu-5","Kiluida",13.9,222,"2019","walleye pollock",0,0
194,"Kilu-6","Kiluida",14.1,222,"2019","Pacific cod",0,0
194,"Kilu-6","Kiluida",14.1,222,"2019","walleye pollock",0,0
195,"Kilu-3","Kiluida",15.4,222,"2019","Pacific cod",0,0
195,"Kilu-3","Kiluida",15.4,222,"2019","walleye pollock",0,0
196,"Ugak-7","Ugak",19.5,226,"2019","Pacific cod",0,0
196,"Ugak-7","Ugak",19.5,226,"2019","walleye pollock",0,0
197,"Ugak-2","Ugak",19.1,226,"2019","Pacific cod",0,0
197,"Ugak-2","Ugak",19.1,226,"2019","walleye pollock",0,0
198,"Ugak-3","Ugak",18.6,226,"2019","Pacific cod",0,0
198,"Ugak-3","Ugak",18.6,226,"2019","walleye pollock",0,0
199,"Ugak-4","Ugak",18.1,226,"2019","Pacific cod",0,0
199,"Ugak-4","Ugak",18.1,226,"2019","walleye pollock",0,0
200,"Ugak-8","Ugak",18.9,226,"2019","Pacific cod",0,0
200,"Ugak-8","Ugak",18.9,226,"2019","walleye pollock",0,0
201,"Ugak-5","Ugak",19.7,226,"2019","Pacific cod",0,0
201,"Ugak-5","Ugak",19.7,226,"2019","walleye pollock",0,0
